	gene_h	gene_t	onco	chem_emb
3	C2CD3	UCP3	0	"[4.2307687e-01 1.2290768e+02 2.5641026e-02 2.0000000e+00 7.0000000e+01
 4.1999998e+00 1.7420000e+02 1.0000000e+00 2.0000000e+00 7.0000000e+01
 8.0476112e+00 6.4005017e+02 1.8353577e-01 0.0000000e+00 0.0000000e+00
 1.4024309e-02 2.1513147e-02 9.6446258e-01 1.6920610e+01 2.1104537e-01
 8.2307692e+00 2.0242915e+00 0.0000000e+00 0.0000000e+00]"
6	CELA2A	CPB1	0	"[-9.3616962e-02  1.2859146e+02 -1.0638298e-02  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  7.6881309e+00  1.0535947e+03
  1.9881034e-01  0.0000000e+00  0.0000000e+00  1.1207235e-01
  3.6556917e-01  5.2235848e-01  1.7250425e+01  8.2842916e-02
  7.7872338e+00  3.0940287e+00  0.0000000e+00  0.0000000e+00]"
9	CTRC	CELA3A	0	"[7.1428463e-02 1.2876189e+02 4.7619049e-02 2.0000000e+00 7.0000000e+01
 4.5000000e+00 2.0420000e+02 1.0000000e+00 2.0000000e+00 7.0000000e+01
 6.5549769e+00 1.0576301e+03 1.4285715e-01 0.0000000e+00 0.0000000e+00
 1.6203841e-02 3.3493929e-02 9.5030218e-01 2.4826834e+01 1.2471655e-01
 7.8571429e+00 2.2857144e+00 0.0000000e+00 0.0000000e+00]"
10	CTSB	PRH2	0	"[-2.0084212e+00  1.1911683e+02  8.9473687e-02  2.0000000e+00
  7.0000000e+01  3.8000000e+00  1.7420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  2.0871623e+00  8.7690564e+02
  7.4356101e-02  0.0000000e+00  0.0000000e+00  1.3566333e-02
  1.8787943e-02  9.6764576e-01  3.8587440e+01  5.3518005e-02
  5.0842104e+00  2.6942888e-01  0.0000000e+00  0.0000000e+00]"
11	DEFA3	HBB	0	"[-2.31111139e-01  1.25159981e+02 -1.66666675e-02  2.00000000e+00
  7.00000000e+01  4.19999981e+00  2.04199997e+02  1.00000000e+00
  2.00000000e+00  7.00000000e+01  8.89542580e+00  7.42103577e+02
  2.60955065e-01  0.00000000e+00  0.00000000e+00  5.57664856e-02
  1.21274374e-01  8.22959125e-01  2.12071514e+01  9.20987651e-02
  8.28888893e+00  1.93807745e+00  0.00000000e+00  0.00000000e+00]"
12	EXO5	ZNF684	0	"[-2.5942031e-01  1.3053622e+02 -2.1739131e-02  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  8.9642115e+00  8.7920264e+02
  2.0907928e-01  0.0000000e+00  0.0000000e+00  5.8927272e-02
  3.8431892e-01  5.5675381e-01  1.5365990e+01  1.0985087e-01
  7.5797100e+00  3.3942881e+00  0.0000000e+00  0.0000000e+00]"
13	FKBP15	PRB3	0	"[-4.3986484e-01  1.2067363e+02  3.0405406e-02  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  5.4017334e+00  1.5224258e+03
  1.3682432e-01  0.0000000e+00  0.0000000e+00  1.3706717e-01
  3.6074939e-01  5.0218344e-01  1.8097563e+01  5.8254201e-02
  8.6216221e+00  1.0359257e+01  0.0000000e+00  0.0000000e+00]"
14	HBA1	IKZF1	0	"[-3.8888957e-02  1.2324721e+02  1.3888889e-02  2.0000000e+00
  7.0000000e+01  4.1999998e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  7.9647298e+00  1.1022615e+03
  2.3551588e-01  0.0000000e+00  0.0000000e+00  1.1051399e-02
  3.3833962e-02  9.5511466e-01  1.5275479e+01  2.3302469e-01
  8.3888893e+00  2.2444444e+00  0.0000000e+00  0.0000000e+00]"
16	HSPB1	KRT6A	0	"[-5.4255313e-01  1.2485742e+02 -2.1276595e-02  2.0000000e+00
  7.0000000e+01  4.5000000e+00  1.7420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  8.3446712e+00  6.3283032e+02
  2.3866791e-01  0.0000000e+00  0.0000000e+00  9.6135922e-03
  1.2271385e-01  8.6767256e-01  2.1600571e+01  1.3082843e-01
  6.1489363e+00  2.5642924e+00  0.0000000e+00  0.0000000e+00]"
17	HSPB7	DES	0	"[-6.2400001e-01  1.2781998e+02  2.6666667e-02  2.0000000e+00
  7.0000000e+01  4.5000000e+00  1.7420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  8.7910376e+00  6.3597864e+02
  2.2900900e-01  0.0000000e+00  0.0000000e+00  7.9695294e-03
  3.8463756e-02  9.5356673e-01  3.4831497e+01  9.1555558e-02
  6.8666668e+00  3.3333333e+00  0.0000000e+00  0.0000000e+00]"
20	MFGE8	HAPLN3	0	"[7.1910068e-02 1.2374830e+02 3.3707865e-02 2.0000000e+00 7.0000000e+01
 4.5000000e+00 1.8120000e+02 1.0000000e+00 2.0000000e+00 7.0000000e+01
 1.0537043e+01 7.3269958e+02 2.0339632e-01 0.0000000e+00 0.0000000e+00
 1.0391491e-02 2.1327214e-02 9.6828127e-01 3.6548218e+01 5.8957204e-02
 5.2471910e+00 6.8820226e-01 0.0000000e+00 0.0000000e+00]"
24	PGA4	MUC1	0	"[3.8235299e-02 1.3849115e+02 1.7647059e-01 2.0000000e+00 7.0000000e+01
 4.1999998e+00 1.7420000e+02 1.0000000e+00 2.0000000e+00 7.0000000e+01
 1.3196372e+01 5.6760083e+02 2.7094474e-01 0.0000000e+00 0.0000000e+00
 1.2840855e-02 2.2409789e-02 9.6474934e-01 1.5131891e+01 2.4567474e-01
 8.3529415e+00 1.8716577e+00 0.0000000e+00 0.0000000e+00]"
26	PLA2G1B	CLPS	0	"[-7.6455700e-01  1.3230251e+02  3.7974682e-02  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  7.7238560e+00  7.3153534e+02
  2.2930866e-01  0.0000000e+00  0.0000000e+00  6.1559960e-02
  1.3437983e-01  8.0406022e-01  2.1655207e+01  9.0530366e-02
  7.1518989e+00  3.7458618e+00  0.0000000e+00  0.0000000e+00]"
34	PRSS1	GP2	0	"[-1.2213120e-01  1.2930981e+02 -1.6393442e-02  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  1.0137936e+01  7.4278339e+02
  2.0634061e-01  0.0000000e+00  0.0000000e+00  3.5723098e-02
  9.9861898e-02  8.6441499e-01  2.8290949e+01  7.1083039e-02
  8.6721315e+00  1.1180870e+01  0.0000000e+00  0.0000000e+00]"
37	SERPINA1	HP	0	"[-3.18965554e-01  1.22705154e+02  5.17241396e-02  2.00000000e+00
  7.00000000e+01  4.50000000e+00  1.81199997e+02  1.00000000e+00
  2.00000000e+00  7.00000000e+01  8.46787930e+00  6.91648560e+02
  2.25347847e-01  0.00000000e+00  0.00000000e+00  7.04712840e-03
  2.65140161e-02  9.66438830e-01  2.45598679e+01  1.42687276e-01
  8.27586174e+00  1.99274051e+00  0.00000000e+00  0.00000000e+00]"
44	TCAP	MYL2	0	"[-7.5594401e-01  1.3122865e+02 -4.5454547e-02  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  8.7838907e+00  7.2285120e+02
  2.8489116e-01  0.0000000e+00  0.0000000e+00  1.5339955e-02
  3.3603229e-02  9.5105684e-01  3.7487877e+01  5.1200546e-02
  7.3216782e+00  3.9943860e+00  0.0000000e+00  0.0000000e+00]"
82	ACOT11	MROH7	0	"[-4.1599354e-01  1.3186203e+02  2.9079160e-02  2.0000000e+00
  7.0000000e+01  4.5000000e+00  2.0420000e+02  1.0000000e+00
  2.0000000e+00  7.0000000e+01  9.6372681e+00  7.8346930e+02
  2.5400740e-01  0.0000000e+00  0.0000000e+00  2.0646557e-01
  2.4710837e-01  5.4642612e-01  2.6971252e+01  1.6841484e-02
  1.0424879e+01  8.4842348e+00  0.0000000e+00  0.0000000e+00]"
86	ACRBP	LPAR5	0	"[3.1752571e-01 1.2913246e+02 6.4432986e-02 2.0000000e+00 7.0000000e+01
 4.5000000e+00 2.0420000e+02 1.0000000e+00 2.0000000e+00 7.0000000e+01
 9.3647566e+00 8.2595361e+02 1.6767229e-01 0.0000000e+00 0.0000000e+00
 7.2025627e-02 1.3598110e-01 7.9199326e-01 3.6334942e+01 2.5148794e-02
 9.7577324e+00 8.4424467e+00 0.0000000e+00 0.0000000e+00]"
